customer_id,age,banked_flag,job_category,housing_type,dependents,employment_years,residence_years,loan_amount,duration_months,interest_rate,existing_monthly_obligation,average_monthly_inflow,average_monthly_outflow,emi,net_monthly_surplus,emi_coverage_ratio,loan_to_income_ratio,existing_obligation_ratio,dependent_ratio,employment_stability_score,income_variance_index,residence_stability_score,digital_behavior_score,location_type,digital_risk_score,purpose,credit_risk
CUST0001,19,1,1,2,0,0,3,919,18,0.16,58.26,1051,745.24,57.77,189.73,4.28,0.87,0.06,0.0,0.21,0.33,0.27,0.78,0,0.47,0,1
CUST0002,24,1,1,0,0,0,3,2231,12,0.14,95.49,1451,933.08,200.32,222.11,2.11,1.54,0.07,0.0,0.23,0.41,0.31,0.7,0,0.38,0,1
CUST0003,18,1,1,2,1,0,3,1700,18,0.16,136.27,2494,1926.22,106.86,324.65,4.04,0.68,0.05,1.0,0.41,0.31,0.27,0.69,0,0.32,0,0
CUST0004,21,1,1,0,1,2,2,1166,12,0.14,74.9,1206,885.25,104.69,141.16,2.35,0.97,0.06,0.25,0.41,0.32,0.39,0.76,0,0.37,0,1
CUST0005,25,1,1,2,1,0,1,631,12,0.14,132.9,1777,1089.72,56.66,497.72,9.78,0.36,0.07,0.12,0.37,0.52,0.26,0.75,0,0.57,0,0
CUST0006,25,1,1,2,0,2,3,2707,12,0.16,71.08,1292,885.91,245.61,89.4,1.36,2.1,0.06,0.0,0.31,0.6,0.24,0.75,0,0.53,0,1
CUST0007,19,0,1,0,0,1,2,2940,12,0.15,94.07,1313,1042.81,265.36,-89.24,0.66,2.24,0.07,0.0,0.2,0.52,0.4,0.76,0,0.38,0,1
CUST0008,23,1,1,0,0,1,1,1578,18,0.17,32.4,1228,861.49,99.93,234.18,3.34,1.29,0.03,0.0,0.39,0.55,0.35,0.66,0,0.41,0,1
CUST0009,20,0,1,0,1,0,1,1986,12,0.13,113.7,2104,1363.76,177.38,449.16,3.53,0.94,0.05,0.33,0.22,0.52,0.44,0.89,0,0.46,0,1
CUST0010,20,1,1,2,1,2,3,2233,6,0.18,77.48,1262,947.83,391.95,-155.26,0.6,1.77,0.06,0.33,0.41,0.42,0.4,0.71,0,0.57,0,1
CUST0011,25,0,1,2,0,1,1,2909,18,0.13,30.25,1247,803.12,178.75,234.88,2.31,2.33,0.02,0.0,0.39,0.37,0.47,0.86,0,0.32,0,1
CUST0012,21,1,1,2,0,2,3,2860,12,0.13,69.75,1570,1090.51,255.45,154.29,1.6,1.82,0.04,0.0,0.23,0.5,0.31,0.72,0,0.56,0,1
CUST0013,18,0,1,2,1,2,2,947,6,0.13,67.59,2379,1682.56,163.87,464.98,3.84,0.4,0.03,1.0,0.26,0.44,0.46,0.62,0,0.54,0,1
CUST0014,19,0,1,2,0,0,2,2489,12,0.13,25.94,1103,750.27,222.31,104.48,1.47,2.26,0.02,0.0,0.31,0.6,0.28,0.84,0,0.44,0,1
CUST0015,24,1,1,2,0,1,1,739,18,0.16,94.17,2426,1485.18,46.45,800.2,18.23,0.3,0.04,0.0,0.22,0.44,0.48,0.76,0,0.32,0,0
CUST0016,19,0,1,2,0,1,1,2833,6,0.15,34.39,1380,838.97,493.04,13.6,1.03,2.05,0.02,0.0,0.4,0.47,0.29,0.68,0,0.5,0,1
CUST0017,23,1,1,0,0,2,3,1728,12,0.14,36.24,1488,1116.55,155.15,180.06,2.16,1.16,0.02,0.0,0.34,0.6,0.5,0.62,0,0.36,0,1
CUST0018,22,1,1,2,0,1,2,1146,12,0.17,72.07,1271,941.44,104.52,152.97,2.46,0.9,0.06,0.0,0.5,0.5,0.2,0.85,0,0.39,0,1
CUST0019,19,1,1,2,0,2,3,1136,12,0.14,51.73,1275,818.71,102.0,302.56,3.97,0.89,0.04,0.0,0.41,0.56,0.35,0.68,0,0.57,0,0
CUST0020,18,1,1,0,0,0,2,1035,18,0.18,55.3,1189,751.82,66.04,315.84,5.78,0.87,0.05,0.0,0.41,0.47,0.23,0.88,0,0.51,0,0
CUST0021,20,0,1,0,0,1,1,671,12,0.14,165.83,2117,1665.27,60.25,225.65,4.75,0.32,0.08,0.0,0.21,0.41,0.4,0.8,0,0.41,0,1
CUST0022,24,0,1,2,0,0,2,601,6,0.16,172.25,2271,1513.48,104.89,480.38,5.58,0.26,0.08,0.0,0.44,0.56,0.44,0.68,0,0.54,0,0
CUST0023,19,0,1,0,0,0,2,1932,12,0.17,59.51,1783,1380.51,176.21,166.77,1.95,1.08,0.03,0.0,0.4,0.42,0.28,0.62,0,0.53,0,1
CUST0024,23,1,1,0,0,0,2,1231,18,0.18,61.3,2313,1510.6,78.54,662.56,9.44,0.53,0.03,0.0,0.33,0.52,0.29,0.78,0,0.45,0,0
CUST0025,24,0,1,0,0,2,2,506,18,0.18,137.7,2180,1542.77,32.29,467.24,15.47,0.23,0.06,0.0,0.42,0.5,0.31,0.62,0,0.5,0,0
CUST0026,23,1,1,2,1,2,2,2172,12,0.14,62.9,2276,1500.18,195.02,517.9,3.66,0.95,0.03,0.17,0.33,0.58,0.4,0.87,0,0.48,0,0
CUST0027,22,0,1,0,1,0,2,2875,18,0.16,85.2,1831,1268.88,180.71,296.21,2.64,1.57,0.05,0.2,0.26,0.44,0.47,0.84,0,0.35,0,1
CUST0028,19,1,1,2,0,2,2,1420,6,0.13,124.96,1581,963.21,245.72,247.11,2.01,0.9,0.08,0.0,0.38,0.53,0.34,0.87,0,0.47,0,1
CUST0029,24,1,1,2,0,2,3,522,6,0.17,137.31,2012,1295.26,91.36,488.07,6.34,0.26,0.07,0.0,0.41,0.44,0.37,0.88,0,0.34,0,0
CUST0030,20,1,1,0,1,2,2,1151,18,0.17,127.02,1951,1346.22,72.89,404.87,6.55,0.59,0.07,0.33,0.45,0.38,0.43,0.75,0,0.37,0,0
CUST0031,25,1,1,2,1,1,2,2712,6,0.13,71.38,1158,748.36,469.29,-131.03,0.72,2.34,0.06,0.12,0.41,0.32,0.32,0.76,0,0.42,0,1
CUST0032,21,1,1,2,1,1,1,1940,12,0.17,143.6,1860,1433.48,176.94,105.98,1.6,1.04,0.08,0.25,0.33,0.52,0.36,0.78,0,0.37,0,1
CUST0033,21,1,1,0,0,1,2,2156,18,0.13,43.09,1558,1080.44,132.48,301.99,3.28,1.38,0.03,0.0,0.39,0.31,0.32,0.77,0,0.31,0,0
CUST0034,24,1,1,2,0,1,2,1840,6,0.15,92.94,1277,852.4,320.22,11.44,1.04,1.44,0.07,0.0,0.28,0.59,0.33,0.85,0,0.44,0,1
CUST0035,18,0,1,2,0,0,1,1316,6,0.16,83.08,1716,1111.47,229.68,291.77,2.27,0.77,0.05,0.0,0.23,0.58,0.34,0.68,0,0.41,0,1
CUST0036,19,1,1,2,0,1,3,2037,12,0.18,74.13,1335,853.95,186.75,220.17,2.18,1.53,0.06,0.0,0.45,0.37,0.41,0.69,0,0.51,0,0
CUST0037,19,0,1,0,1,2,2,782,18,0.16,97.59,2159,1300.86,49.15,711.4,15.47,0.36,0.05,0.5,0.35,0.43,0.31,0.87,0,0.44,0,0
CUST0038,20,0,1,0,1,1,2,2926,12,0.14,143.86,1891,1227.45,262.72,256.97,1.98,1.55,0.08,0.33,0.28,0.44,0.43,0.77,0,0.5,0,1
CUST0039,23,1,1,0,0,1,1,1953,12,0.14,65.67,1058,821.08,175.35,-4.1,0.98,1.85,0.06,0.0,0.28,0.3,0.48,0.63,0,0.52,0,1
CUST0040,25,0,1,0,1,1,1,881,12,0.13,82.0,2137,1577.87,78.69,398.44,6.06,0.41,0.04,0.12,0.37,0.44,0.36,0.73,0,0.52,0,1
CUST0041,23,1,1,0,1,1,1,994,18,0.13,89.7,1720,1073.13,61.08,496.09,9.12,0.58,0.05,0.17,0.43,0.36,0.26,0.75,0,0.52,0,0
CUST0042,22,0,1,0,0,1,1,1738,6,0.16,27.39,1205,753.51,303.33,120.77,1.4,1.44,0.02,0.0,0.22,0.39,0.48,0.79,0,0.53,0,1
CUST0043,19,1,1,0,1,1,2,1255,6,0.14,27.52,1025,791.65,217.79,-11.96,0.95,1.22,0.03,0.5,0.22,0.45,0.37,0.81,0,0.35,0,1
CUST0044,22,0,1,2,1,2,3,1424,18,0.14,44.43,1174,917.72,88.17,123.68,2.4,1.21,0.04,0.2,0.38,0.43,0.37,0.62,0,0.59,0,1
CUST0045,19,0,1,0,0,0,1,1211,18,0.12,67.02,1425,855.76,73.85,428.37,6.8,0.85,0.05,0.0,0.38,0.39,0.27,0.81,0,0.51,0,1
CUST0046,25,0,1,0,0,1,1,2730,6,0.16,79.69,1145,895.03,476.47,-306.19,0.36,2.38,0.07,0.0,0.22,0.35,0.29,0.82,0,0.47,0,1
CUST0047,22,0,1,0,1,2,2,1615,18,0.15,106.12,1899,1305.66,100.75,386.47,4.84,0.85,0.06,0.2,0.47,0.52,0.38,0.61,0,0.37,0,1
CUST0048,18,1,1,2,0,1,3,2311,12,0.13,138.01,2376,1703.75,206.41,327.83,2.59,0.97,0.06,0.0,0.35,0.33,0.3,0.7,0,0.5,0,0
CUST0049,20,1,1,0,1,2,2,2753,6,0.15,65.99,1675,1110.36,479.12,19.53,1.04,1.64,0.04,0.33,0.49,0.42,0.35,0.9,0,0.5,0,1
CUST0050,25,0,1,2,1,2,2,2310,6,0.13,139.67,1846,1310.37,399.73,-3.77,0.99,1.25,0.08,0.12,0.33,0.51,0.24,0.89,0,0.48,0,1
CUST0051,21,0,1,2,2,0,4,490,6,0.2,95.07,1526,1228.73,86.5,115.7,2.34,0.32,0.06,0.5,0.18,0.6,0.32,0.61,1,0.55,0,1
CUST0052,22,0,2,2,0,1,2,1085,6,0.19,112.15,1225,902.09,190.99,19.77,1.1,0.89,0.09,0.0,0.37,0.43,0.4,0.52,1,0.68,0,1
CUST0053,22,0,1,2,2,1,4,604,12,0.17,112.56,1640,1162.22,55.09,310.13,6.63,0.37,0.07,0.4,0.29,0.49,0.28,0.46,1,0.61,0,1
CUST0054,24,0,2,0,1,2,4,1744,12,0.16,90.86,1039,792.58,158.23,-2.67,0.98,1.68,0.09,0.14,0.4,0.5,0.21,0.55,1,0.58,0,1
CUST0055,19,0,2,0,2,1,1,1779,6,0.16,69.16,1695,1290.43,310.49,24.92,1.08,1.05,0.04,1.0,0.27,0.64,0.28,0.61,1,0.59,0,1
CUST0056,23,0,2,2,2,2,4,1408,6,0.17,130.26,1672,1153.53,246.44,141.77,1.58,0.84,0.08,0.33,0.22,0.42,0.22,0.69,1,0.63,0,1
CUST0057,19,0,1,2,0,0,3,1930,6,0.15,50.4,1254,895.01,335.89,-27.3,0.92,1.54,0.04,0.0,0.28,0.52,0.4,0.45,1,0.42,0,1
CUST0058,24,0,1,2,2,0,2,1244,12,0.16,133.25,1434,1094.66,112.87,93.22,1.83,0.87,0.09,0.29,0.27,0.44,0.34,0.42,1,0.68,0,1
CUST0059,22,0,2,2,1,1,2,1087,12,0.14,80.15,1454,1039.37,97.6,236.88,3.43,0.75,0.06,0.2,0.22,0.56,0.21,0.65,1,0.52,0,1
CUST0060,18,0,1,2,1,0,3,748,6,0.17,110.96,1379,1055.24,130.92,81.88,1.63,0.54,0.08,1.0,0.31,0.6,0.36,0.67,1,0.59,0,1
CUST0061,22,0,2,0,2,1,2,484,12,0.15,70.8,1607,1158.06,43.69,334.45,8.66,0.3,0.04,0.4,0.35,0.61,0.29,0.55,1,0.48,0,0
CUST0062,20,0,2,2,2,1,1,1259,6,0.14,95.89,1063,865.61,218.48,-116.98,0.46,1.18,0.09,0.67,0.33,0.64,0.44,0.64,1,0.51,0,1
CUST0063,24,0,2,0,1,1,3,1497,12,0.19,30.59,814,659.22,137.96,-13.77,0.9,1.84,0.04,0.14,0.21,0.36,0.42,0.57,1,0.67,0,1
CUST0064,21,0,1,2,2,1,4,538,6,0.13,145.88,1463,960.21,93.1,263.81,3.83,0.37,0.1,0.5,0.18,0.42,0.33,0.52,1,0.51,0,1
CUST0065,24,0,1,2,2,0,4,1560,12,0.2,109.73,1401,977.28,144.51,169.48,2.17,1.11,0.08,0.29,0.2,0.48,0.26,0.51,1,0.69,0,1
CUST0066,23,0,2,0,1,1,2,550,12,0.14,101.46,1357,930.98,49.38,275.18,6.57,0.41,0.07,0.17,0.39,0.37,0.28,0.7,1,0.64,0,1
CUST0067,21,0,1,0,0,1,2,1915,6,0.15,86.24,870,711.04,333.27,-260.55,0.22,2.2,0.1,0.0,0.29,0.59,0.23,0.66,1,0.44,0,1
CUST0068,23,0,1,2,0,0,3,407,6,0.18,132.17,1608,1189.01,71.44,215.38,4.01,0.25,0.08,0.0,0.27,0.58,0.33,0.43,1,0.55,0,0
CUST0069,18,0,2,2,2,0,1,1280,12,0.16,123.32,1544,1031.94,116.14,272.6,3.35,0.83,0.08,1.0,0.26,0.62,0.28,0.44,1,0.44,0,1
CUST0070,23,0,2,2,2,2,4,503,6,0.19,99.75,1190,905.18,88.54,96.53,2.09,0.42,0.08,0.33,0.33,0.41,0.31,0.47,1,0.5,0,1
CUST0071,25,0,2,0,1,1,3,1662,12,0.16,114.29,1208,816.55,150.79,126.37,1.84,1.38,0.09,0.12,0.17,0.6,0.22,0.43,1,0.62,0,1
CUST0072,20,0,1,2,2,0,4,1024,12,0.19,133.87,1369,1057.66,94.37,83.1,1.88,0.75,0.1,0.67,0.3,0.46,0.34,0.46,1,0.6,0,1
CUST0073,21,0,1,2,2,1,1,1861,12,0.17,148.63,1667,1312.31,169.73,36.33,1.21,1.12,0.09,0.5,0.39,0.6,0.35,0.59,1,0.41,0,1
CUST0074,22,0,1,2,2,1,3,1018,6,0.14,63.02,829,559.04,176.66,30.28,1.17,1.23,0.08,0.4,0.17,0.57,0.44,0.43,1,0.56,0,1
CUST0075,24,0,2,2,0,1,3,1777,12,0.18,44.18,1229,917.44,162.92,104.46,1.64,1.45,0.04,0.0,0.16,0.4,0.35,0.6,1,0.48,0,1
